(('de', 1.0), 90, (1632, 1518), None, 'hsl(0, 100%, 30%)')
(('casos', 0.0044409652809580345), 9, (1598, 1402), 2, 'hsl(0, 100%, 30%)')
(('derechos', 0.0044198225776840901), 9, (1558, 1328), 2, 'hsl(0, 100%, 30%)')
(('obras', 0.0044128460044532622), 9, (1398, 1430), 2, 'hsl(0, 100%, 30%)')
(('algunas', 0.0044088994304240983), 9, (1269, 1604), None, 'hsl(0, 100%, 30%)')
(('partes', 0.0043600531170669178), 9, (1549, 1570), None, 'hsl(0, 100%, 30%)')
(('mejor', 0.0043593551159437551), 9, (1645, 1295), 2, 'hsl(0, 100%, 30%)')
(('do', 0.004356623029401591), 9, (1484, 1405), 2, 'hsl(0, 100%, 30%)')
(('cosas', 0.0043456427932816186), 9, (1559, 1521), 2, 'hsl(0, 100%, 30%)')
(('hemos', 0.004338910418445573), 9, (1329, 1293), 2, 'hsl(0, 100%, 30%)')
(('respecto', 0.0043183131572255371), 9, (1596, 1387), 2, 'hsl(0, 100%, 30%)')
(('cuatro', 0.0043118160924244869), 9, (1281, 1625), None, 'hsl(0, 100%, 30%)')
(('además', 0.004303241104193725), 9, (1250, 1559), None, 'hsl(0, 100%, 30%)')
(('siguiente', 0.0042812494794055318), 9, (1288, 1362), 2, 'hsl(0, 100%, 30%)')
(('último', 0.0042792870687090841), 9, (1337, 1571), 2, 'hsl(0, 100%, 30%)')
(('servicio', 0.0042672700645921061), 9, (1355, 1716), 2, 'hsl(0, 100%, 30%)')
(('días', 0.0042491831616379479), 9, (1706, 1521), None, 'hsl(0, 100%, 30%)')
(('personas', 0.0042482506966667992), 9, (1510, 1599), 2, 'hsl(0, 100%, 30%)')
(('capital', 0.0042404003949034277), 9, (1364, 1413), 2, 'hsl(0, 100%, 30%)')
(('cosa', 0.0042304293548949216), 9, (1616, 1568), None, 'hsl(0, 100%, 30%)')
(('sistema', 0.0042226669339916374), 9, (1522, 1426), None, 'hsl(0, 100%, 30%)')
(('cuales', 0.0041879164540388966), 9, (1681, 1459), 2, 'hsl(0, 100%, 30%)')
(('siendo', 0.0041821056298771801), 9, (1271, 1473), None, 'hsl(0, 100%, 30%)')
(('fuerza', 0.0041592345099125466), 9, (1643, 1660), 2, 'hsl(0, 100%, 30%)')
(('cuya', 0.004153440240980002), 9, (1716, 1554), 2, 'hsl(0, 100%, 30%)')
(('libertad', 0.0041385369551374942), 9, (1402, 1672), 2, 'hsl(0, 100%, 30%)')
(('justicia', 0.0041261520250949445), 9, (1527, 1325), None, 'hsl(0, 100%, 30%)')
(('vista', 0.0041165309220681573), 9, (1455, 1701), 2, 'hsl(0, 100%, 30%)')
(('haya', 0.0041044945360323081), 9, (1293, 1334), 2, 'hsl(0, 100%, 30%)')
(('eran', 0.0040981528984713857), 9, (1735, 1415), 2, 'hsl(0, 100%, 30%)')
(('acuerdo', 0.0040903960296727803), 9, (1614, 1637), None, 'hsl(0, 100%, 30%)')
(('dicha', 0.0040832635836312485), 9, (1265, 1370), None, 'hsl(0, 100%, 30%)')
(('cuyo', 0.0040821030349635383), 9, (1433, 1298), None, 'hsl(0, 100%, 30%)')
(('da', 0.0040747973543646425), 9, (1687, 1671), None, 'hsl(0, 100%, 30%)')
(('ministro', 0.0040203420084264779), 9, (1276, 1541), 2, 'hsl(0, 100%, 30%)')
(('primero', 0.0040013876683794034), 9, (1594, 1267), None, 'hsl(0, 100%, 30%)')
(('posible', 0.003996911234621636), 9, (1296, 1452), 2, 'hsl(0, 100%, 30%)')
(('despues', 0.0039966831389815242), 9, (1493, 1367), None, 'hsl(0, 100%, 30%)')
(('méxico', 0.0039929479075612459), 9, (1382, 1297), 2, 'hsl(0, 100%, 30%)')
(('comisión', 0.0039917981947640152), 9, (1304, 1579), 2, 'hsl(0, 100%, 30%)')
(('nuestros', 0.0039804494119452874), 9, (1630, 1413), None, 'hsl(0, 100%, 30%)')
(('tambien', 0.003970237578341417), 9, (1570, 1668), 2, 'hsl(0, 100%, 30%)')
(('francisco', 0.003967447166640518), 9, (1520, 1381), None, 'hsl(0, 100%, 30%)')
(('decreto', 0.003964263285326149), 9, (1473, 1525), 2, 'hsl(0, 100%, 30%)')
(('pública', 0.0039515221584100358), 9, (1422, 1691), None, 'hsl(0, 100%, 30%)')
(('aquellos', 0.0039294870256943257), 9, (1564, 1373), 2, 'hsl(0, 100%, 30%)')
(('pueblos', 0.0039228635437678263), 9, (1514, 1731), None, 'hsl(0, 100%, 30%)')
(('fuera', 0.0039154310059957825), 9, (1518, 1472), None, 'hsl(0, 100%, 30%)')
(('clase', 0.0039143367263111042), 9, (1364, 1332), 2, 'hsl(0, 100%, 30%)')
(('consejo', 0.0039030304996969709), 9, (1385, 1366), None, 'hsl(0, 100%, 30%)')
(('allí', 0.0038394276005273642), 9, (1747, 1555), 2, 'hsl(0, 100%, 30%)')
(('momento', 0.0038269321737815975), 9, (1292, 1661), 2, 'hsl(0, 100%, 30%)')
(('carácter', 0.0038263720982378109), 9, (1336, 1538), None, 'hsl(0, 100%, 30%)')
(('parece', 0.0038216929576458743), 9, (1401, 1454), 2, 'hsl(0, 100%, 30%)')
(('condiciones', 0.0038134894186987929), 7, (1233, 1461), None, 'hsl(0, 100%, 30%)')
(('dia', 0.0037936422862909526), 7, (1458, 1757), 2, 'hsl(0, 100%, 30%)')
(('madrid', 0.0037930809160349713), 7, (1380, 1729), 2, 'hsl(0, 100%, 30%)')
(('público', 0.0037822516509541898), 7, (1485, 1630), None, 'hsl(0, 100%, 30%)')
(('ver', 0.0037768101793663328), 7, (1415, 1275), None, 'hsl(0, 100%, 30%)')
(('mientras', 0.0037624567899865406), 7, (1402, 1530), None, 'hsl(0, 100%, 30%)')
(('anterior', 0.003747901386003226), 7, (1304, 1606), 2, 'hsl(0, 100%, 30%)')
(('julio', 0.0037425382829748884), 7, (1695, 1347), 2, 'hsl(0, 100%, 30%)')
(('proyecto', 0.0037295946620298486), 7, (1622, 1361), 2, 'hsl(0, 100%, 30%)')
(('cuerpo', 0.0037098176594033377), 7, (1606, 1264), 2, 'hsl(0, 100%, 30%)')
(('congreso', 0.0037096705944607397), 7, (1722, 1608), None, 'hsl(0, 100%, 30%)')
(('segundo', 0.0037078092511363633), 7, (1496, 1710), None, 'hsl(0, 100%, 30%)')
