(('último', 0.0042792870687090841), 10, (1519, 1576), None, 'hsl(0, 100%, 30%)')
(('servicio', 0.0042672700645921061), 10, (1477, 1756), 2, 'hsl(0, 100%, 30%)')
(('días', 0.0042491831616379479), 10, (1356, 1322), None, 'hsl(0, 100%, 30%)')
(('personas', 0.0042482506966667992), 10, (1574, 1304), 2, 'hsl(0, 100%, 30%)')
(('capital', 0.0042404003949034277), 10, (1752, 1481), None, 'hsl(0, 100%, 30%)')
(('cosa', 0.0042304293548949216), 10, (1494, 1662), 2, 'hsl(0, 100%, 30%)')
(('sistema', 0.0042226669339916374), 10, (1556, 1457), None, 'hsl(0, 100%, 30%)')
(('cuales', 0.0041879164540388966), 10, (1438, 1643), 2, 'hsl(0, 100%, 30%)')
(('siendo', 0.0041821056298771801), 10, (1681, 1508), 2, 'hsl(0, 100%, 30%)')
(('fuerza', 0.0041592345099125466), 10, (1577, 1417), None, 'hsl(0, 100%, 30%)')
(('cuya', 0.004153440240980002), 10, (1310, 1668), None, 'hsl(0, 100%, 30%)')
(('libertad', 0.0041385369551374942), 10, (1350, 1609), 2, 'hsl(0, 100%, 30%)')
(('justicia', 0.0041261520250949445), 10, (1341, 1450), 2, 'hsl(0, 100%, 30%)')
(('vista', 0.0041165309220681573), 10, (1388, 1522), 2, 'hsl(0, 100%, 30%)')
(('haya', 0.0041044945360323081), 10, (1540, 1238), None, 'hsl(0, 100%, 30%)')
(('eran', 0.0040981528984713857), 10, (1659, 1354), 2, 'hsl(0, 100%, 30%)')
(('acuerdo', 0.0040903960296727803), 10, (1457, 1438), 2, 'hsl(0, 100%, 30%)')
(('dicha', 0.0040832635836312485), 10, (1466, 1242), 2, 'hsl(0, 100%, 30%)')
(('cuyo', 0.0040821030349635383), 10, (1574, 1588), None, 'hsl(0, 100%, 30%)')
(('da', 0.0040747973543646425), 10, (1611, 1396), 2, 'hsl(0, 100%, 30%)')
(('ministro', 0.0040203420084264779), 10, (1358, 1647), None, 'hsl(0, 100%, 30%)')
(('primero', 0.0040013876683794034), 10, (1427, 1594), 2, 'hsl(0, 100%, 30%)')
(('posible', 0.003996911234621636), 10, (1581, 1714), None, 'hsl(0, 100%, 30%)')
(('despues', 0.0039966831389815242), 9, (1690, 1405), None, 'hsl(0, 100%, 30%)')
(('méxico', 0.0039929479075612459), 9, (1369, 1271), 2, 'hsl(0, 100%, 30%)')
(('comisión', 0.0039917981947640152), 9, (1419, 1607), None, 'hsl(0, 100%, 30%)')
(('nuestros', 0.0039804494119452874), 9, (1620, 1707), 2, 'hsl(0, 100%, 30%)')
(('tambien', 0.003970237578341417), 9, (1532, 1512), 2, 'hsl(0, 100%, 30%)')
(('francisco', 0.003967447166640518), 9, (1391, 1547), 2, 'hsl(0, 100%, 30%)')
(('decreto', 0.003964263285326149), 9, (1418, 1291), None, 'hsl(0, 100%, 30%)')
(('pública', 0.0039515221584100358), 9, (1379, 1708), None, 'hsl(0, 100%, 30%)')
(('aquellos', 0.0039294870256943257), 9, (1640, 1509), 2, 'hsl(0, 100%, 30%)')
(('pueblos', 0.0039228635437678263), 9, (1250, 1416), 2, 'hsl(0, 100%, 30%)')
(('fuera', 0.0039154310059957825), 9, (1571, 1662), 2, 'hsl(0, 100%, 30%)')
(('clase', 0.0039143367263111042), 9, (1285, 1390), None, 'hsl(0, 100%, 30%)')
(('consejo', 0.0039030304996969709), 9, (1398, 1343), None, 'hsl(0, 100%, 30%)')
(('allí', 0.0038394276005273642), 9, (1672, 1679), 2, 'hsl(0, 100%, 30%)')
(('momento', 0.0038269321737815975), 9, (1408, 1493), 2, 'hsl(0, 100%, 30%)')
(('carácter', 0.0038263720982378109), 9, (1573, 1260), None, 'hsl(0, 100%, 30%)')
(('parece', 0.0038216929576458743), 9, (1584, 1566), None, 'hsl(0, 100%, 30%)')
(('condiciones', 0.0038134894186987929), 8, (1604, 1462), None, 'hsl(0, 100%, 30%)')
(('dia', 0.0037936422862909526), 8, (1658, 1449), None, 'hsl(0, 100%, 30%)')
(('madrid', 0.0037930809160349713), 8, (1551, 1566), 2, 'hsl(0, 100%, 30%)')
(('público', 0.0037822516509541898), 8, (1588, 1376), 2, 'hsl(0, 100%, 30%)')
(('ver', 0.0037768101793663328), 8, (1546, 1472), None, 'hsl(0, 100%, 30%)')
(('mientras', 0.0037624567899865406), 8, (1371, 1638), 2, 'hsl(0, 100%, 30%)')
(('anterior', 0.003747901386003226), 8, (1598, 1266), 2, 'hsl(0, 100%, 30%)')
(('julio', 0.0037425382829748884), 8, (1409, 1416), None, 'hsl(0, 100%, 30%)')
(('proyecto', 0.0037295946620298486), 8, (1494, 1265), 2, 'hsl(0, 100%, 30%)')
(('cuerpo', 0.0037098176594033377), 8, (1393, 1662), None, 'hsl(0, 100%, 30%)')
(('congreso', 0.0037096705944607397), 8, (1699, 1424), None, 'hsl(0, 100%, 30%)')
(('segundo', 0.0037078092511363633), 8, (1396, 1738), 2, 'hsl(0, 100%, 30%)')
(('éste', 0.0037045646192598296), 8, (1525, 1310), 2, 'hsl(0, 100%, 30%)')
(('agua', 0.0036867082904043572), 8, (1296, 1508), None, 'hsl(0, 100%, 30%)')
(('santa', 0.0036841001795778041), 8, (1401, 1382), None, 'hsl(0, 100%, 30%)')
